school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason_home,reason_reputation,reason_course,reason_other,guardian_mother,guardian_father,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,grade_avg_class
0,1,17,1,1,1,0.6,0.4,1,1,0,0,0,1,0,1,0,0.3333,0.3333,0.0,0,1,1,0,1,1,1,0,0.75,0.0,0.25,0.25,0.25,0.0,0.0,3
0,0,17,1,1,0,0.2,0.2,0,0,0,0,0,1,1,0,0,0.0,0.3333,0.0,0,0,0,1,1,1,1,1,0.75,1.0,1.0,0.0,0.25,0.5,0.0215,4
0,0,17,1,0,1,0.2,0.2,1,1,0,0,1,0,0,1,0,0.0,0.6667,0.0,0,1,0,0,1,1,0,1,0.75,0.5,0.5,0.0,0.0,0.5,0.0,4
1,0,16,0,1,1,0.2,0.2,0,1,0,0,1,0,1,0,0,1.0,0.3333,0.0,0,1,0,0,1,1,0,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,3
0,0,20,1,1,1,0.6,0.6,0,1,0,0,0,1,1,0,0,0.3333,0.3333,0.25,0,0,0,1,1,1,1,1,0.5,0.5,0.75,0.25,0.75,0.5,0.086,4
0,0,18,1,0,1,0.2,0.2,1,0,0,1,0,0,1,0,0,0.3333,0.3333,0.0,1,0,0,0,1,1,0,0,0.25,0.5,1.0,0.0,0.75,0.5,0.086,5
1,1,15,1,1,1,0.4,0.6,1,1,1,0,0,0,1,0,0,0.0,0.6667,0.0,1,0,0,0,0,1,1,0,1.0,0.5,0.25,0.0,0.25,1.0,0.0215,5
0,1,18,0,1,1,0.2,0.6,0,1,0,0,1,0,1,0,0,0.3333,0.3333,0.0,0,1,1,0,1,1,0,0,0.5,0.5,0.75,0.25,0.75,0.5,0.0,5
1,0,16,1,1,0,0.6,0.8,1,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0.5,0.25,0.0,0.0,0.75,1.0,0.129,2
1,0,18,1,1,1,0.6,0.6,0,1,0,0,1,0,0,1,0,0.0,0.3333,0.0,0,1,0,0,1,1,1,0,0.75,0.0,0.75,0.0,0.0,0.5,0.086,3
1,0,17,1,0,1,0.6,0.6,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,1,1.0,0.5,0.5,0.25,0.5,0.0,0.3441,3
0,0,15,0,0,1,0.2,0.2,1,1,0,0,1,0,1,0,0,0.3333,0.0,0.25,0,1,0,0,1,1,1,1,0.75,0.75,0.5,0.0,0.25,0.25,0.043,5
1,0,18,0,1,1,0.4,0.4,0,1,0,0,1,0,1,0,0,0.3333,1.0,0.0,0,0,0,1,1,1,0,0,0.75,0.75,0.75,0.0,0.0,0.75,0.0645,3
0,0,18,1,1,1,0.6,0.6,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,0,0,0,0,1,1,1,1,0.75,0.0,0.5,0.0,0.25,0.0,0.0108,1
1,0,18,1,0,1,0.6,0.6,1,1,1,0,0,0,1,0,0,0.0,1.0,0.0,0,1,0,0,1,1,1,0,1.0,0.5,0.5,0.0,0.0,0.0,0.043,2
0,1,15,0,1,1,0.2,0.2,1,1,0,0,1,0,1,0,0,1.0,0.3333,0.0,0,1,0,1,1,1,0,1,1.0,0.75,1.0,0.25,0.75,0.75,0.086,5
1,1,19,1,0,0,0.8,0.6,1,0,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,0,1,1,1,0,0.75,0.5,0.0,0.0,0.0,0.0,0.043,3
1,1,17,0,1,1,0.6,0.8,0,1,0,0,1,0,1,0,0,0.6667,0.3333,0.0,0,0,0,0,1,1,0,0,1.0,0.75,1.0,0.25,0.75,1.0,0.0215,5
1,0,17,1,1,1,0.2,0.2,0,1,0,0,1,0,0,1,0,0.0,0.3333,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,0.0,0.0,0.5,0.0215,4
0,0,15,0,0,1,0.4,0.2,0,1,1,0,0,0,1,0,0,0.3333,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,5
1,0,15,1,1,1,0.6,0.4,1,1,1,0,0,0,0,1,0,0.0,0.3333,0.25,0,1,0,0,1,1,1,0,0.5,0.5,0.25,0.0,0.0,0.5,0.0215,4
1,1,17,1,0,1,0.8,0.8,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,0,0.75,0.75,0.75,0.0,0.5,1.0,0.0,4
1,0,17,1,0,0,0.6,0.6,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,1,1,0,0,1,1,1,0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,3
1,0,16,1,1,1,0.8,0.8,1,1,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,1.0,0.5,0.75,0.0,0.25,0.0,0.043,3
0,0,16,0,1,1,0.4,0.4,0,1,0,0,1,0,1,0,0,0.3333,0.3333,0.25,0,1,0,1,0,1,0,0,0.75,0.75,0.75,0.25,0.5,1.0,0.0215,4
1,1,21,0,0,1,0.2,0.2,0,1,0,0,1,0,0,0,1,0.3333,0.3333,0.5,0,1,0,1,1,0,1,1,1.0,0.5,0.5,1.0,0.25,0.75,0.2258,5
0,0,18,1,1,1,0.4,0.4,1,0,0,1,0,0,0,1,0,0.3333,0.3333,0.0,0,0,0,1,0,1,1,0,0.75,0.5,1.0,0.0,0.0,0.0,0.0215,3
1,0,15,1,0,1,0.8,0.4,1,1,0,0,0,1,1,0,0,0.0,0.3333,0.0,0,1,0,0,1,1,1,0,0.75,0.5,0.5,0.0,0.0,1.0,0.0,2
1,0,19,1,1,1,0.8,0.8,1,1,0,1,0,0,0,0,1,0.3333,0.3333,0.0,0,1,0,1,1,1,1,0,0.25,0.5,0.75,0.25,0.5,0.25,0.0215,3
1,0,18,1,0,1,0.2,0.2,1,1,1,0,0,0,1,0,0,0.3333,0.3333,0.0,0,1,0,0,0,1,0,0,0.75,0.75,0.5,0.0,0.0,0.5,0.0215,3
1,0,15,1,0,0,0.8,0.6,1,1,0,0,1,0,1,0,0,0.0,0.3333,0.0,1,1,1,1,1,1,1,1,1.0,0.25,0.25,0.0,0.0,1.0,0.043,4
1,0,15,0,1,1,0.4,0.8,1,1,0,0,1,0,1,0,0,0.0,0.6667,0.0,1,1,0,1,1,1,1,0,0.75,0.5,0.25,0.0,0.0,1.0,0.0215,4
1,1,22,1,1,1,0.6,0.2,1,1,0,0,0,1,1,0,0,0.0,0.0,0.75,0,0,0,0,0,0,1,1,1.0,0.75,1.0,1.0,1.0,0.0,0.129,5
0,1,18,1,1,1,0.6,0.6,0,0,0,0,1,0,1,0,0,0.0,0.3333,0.5,0,1,0,1,1,0,1,0,0.75,0.75,1.0,0.0,0.5,0.5,0.0968,5
1,0,16,1,1,1,0.4,0.6,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,1,1,0,1,1,1,0,0,0.75,0.75,0.5,0.0,0.5,0.75,0.043,4
1,0,15,1,1,1,0.8,0.4,1,1,0,1,0,0,1,0,0,0.0,0.6667,0.0,0,1,0,1,1,1,1,0,1.0,0.5,0.5,0.0,0.5,0.0,0.043,2
0,1,17,0,1,1,0.8,0.8,1,1,0,0,1,0,0,1,0,0.6667,0.0,0.75,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.0,0.5,1.0,0.0215,5
1,1,16,1,1,1,0.8,0.8,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,0,1,1,1,1,1,1,1,0.75,0.75,1.0,1.0,1.0,1.0,0.043,4
1,1,15,0,1,1,0.6,0.8,0,1,0,0,1,0,1,0,0,1.0,0.3333,0.0,0,1,0,0,1,1,0,1,1.0,0.5,0.5,0.0,0.0,1.0,0.0215,4
1,0,17,1,1,1,0.2,0.2,1,1,0,0,1,0,0,1,0,0.0,0.3333,0.0,0,1,0,0,1,1,0,0,0.75,0.5,0.75,0.0,0.25,1.0,0.043,4
0,0,16,0,0,1,0.2,0.2,0,1,0,0,1,0,0,1,0,0.6667,0.3333,0.0,0,1,0,0,1,1,0,0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,1
1,0,16,1,1,1,0.4,0.6,1,1,0,0,1,0,1,0,0,0.0,0.3333,0.0,0,0,0,0,1,1,1,0,0.75,0.5,0.5,0.0,0.0,0.25,0.0645,3
0,1,15,1,0,1,0.6,0.6,0,0,0,1,0,0,0,1,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,4
0,1,16,0,0,1,0.2,0.4,1,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.75,0.75,0.75,0.25,0.75,1.0,0.043,4
1,0,17,1,1,1,0.2,0.2,1,1,0,1,0,0,1,0,0,0.0,0.6667,0.0,0,1,0,0,1,1,1,0,0.75,0.5,0.5,0.0,0.0,0.5,0.0,3
0,1,16,1,0,1,0.4,0.2,0,1,0,0,1,0,1,0,0,0.3333,0.0,0.0,0,1,0,1,1,1,1,0,0.25,0.75,0.5,0.25,0.5,0.75,0.043,5
1,0,15,1,1,1,0.8,0.8,1,1,0,1,0,0,0,1,0,0.3333,0.3333,0.0,0,0,0,0,1,1,1,1,0.75,0.75,0.75,0.25,0.5,1.0,0.043,4
0,0,17,1,1,1,0.0,0.2,1,0,0,0,1,0,0,1,0,0.3333,0.0,0.0,0,0,0,1,0,1,0,0,0.25,0.75,0.75,0.5,1.0,1.0,0.0538,5
1,0,17,1,1,1,0.8,0.8,1,1,0,0,1,0,1,0,0,0.3333,0.6667,0.0,0,1,0,0,0,1,1,1,0.75,0.5,0.5,0.0,0.25,0.75,0.043,2
1,0,18,0,0,1,0.2,0.2,0,1,0,1,0,0,1,0,0,0.3333,1.0,0.0,0,1,0,1,1,1,0,0,1.0,0.25,0.25,0.0,0.0,0.5,0.0215,1
1,0,17,0,1,1,0.8,0.6,1,1,0,1,0,0,1,0,0,0.3333,0.6667,0.0,0,1,0,1,1,1,1,1,0.75,0.75,0.25,0.0,0.0,0.75,0.0,4
1,0,17,1,1,1,0.4,0.2,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,0,0.75,0.5,1.0,0.25,0.75,0.75,0.043,2
0,0,17,0,1,1,0.6,0.2,1,1,0,0,1,0,1,0,0,0.3333,0.3333,0.75,0,1,0,1,0,1,1,1,1.0,0.75,0.75,0.0,0.0,1.0,0.0215,5
0,0,16,0,1,1,0.2,0.2,0,1,0,0,0,1,1,0,0,0.3333,0.0,0.0,0,0,0,1,1,1,1,1,0.75,0.25,0.25,0.75,0.5,0.25,0.0,3
1,1,16,0,1,1,0.8,0.4,1,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0,1,0,1,1,1,1,1,0.75,0.5,0.5,0.5,0.75,0.5,0.086,4
1,0,17,0,0,0,0.2,0.8,1,1,0,0,1,0,0,0,1,1.0,0.0,0.25,0,1,0,0,1,1,1,0,1.0,1.0,0.75,0.0,0.0,1.0,0.1505,5
1,1,17,1,1,1,0.6,0.6,1,1,0,0,0,1,1,0,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,1,0.75,0.5,0.75,0.25,0.5,0.75,0.0645,3
1,1,17,1,0,1,0.8,0.8,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,0,1,1,1,1,1.0,0.5,1.0,0.75,1.0,0.5,0.1613,3
1,1,17,0,0,1,0.2,0.4,1,1,0,1,0,0,1,0,0,0.0,0.0,0.75,0,0,0,0,1,1,0,0,0.25,0.25,0.25,0.5,0.5,1.0,0.1505,5
1,1,15,1,1,1,0.4,0.6,1,1,0,0,1,0,0,1,0,0.0,0.0,0.0,1,1,0,1,0,1,1,1,0.5,0.25,0.25,0.0,0.5,0.5,0.0,4
0,1,15,0,0,1,0.8,0.2,1,1,0,1,0,0,0,1,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,0,1.0,0.5,0.75,0.0,0.25,0.25,0.0753,5
1,0,16,1,1,1,0.8,0.8,1,1,0,1,0,0,1,0,0,0.0,0.6667,0.0,0,1,0,1,1,1,1,0,0.5,0.25,0.5,0.0,0.25,0.25,0.1075,3
1,0,16,1,1,1,0.4,0.4,1,1,0,1,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,1,1,1,1,1.0,0.25,0.5,0.0,0.5,0.5,0.0108,3
1,0,17,0,1,1,0.8,0.8,1,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0.75,0.75,0.75,0.0,0.0,1.0,0.0215,1
1,1,17,0,1,1,0.2,0.6,1,1,0,0,1,0,0,1,0,0.6667,0.3333,0.25,0,1,0,1,1,1,1,0,1.0,0.25,0.75,0.0,0.75,1.0,0.1505,4
1,1,18,1,0,1,0.4,0.4,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,1,0,0,1,0,0.75,0.75,0.75,0.0,0.5,0.5,0.1183,4
1,1,18,1,1,1,0.8,0.6,1,1,0,0,1,0,1,0,0,0.0,0.3333,0.0,0,1,0,0,0,1,1,0,0.75,0.5,0.25,0.0,0.0,0.5,0.0215,4
1,0,19,1,1,1,0.8,0.8,1,1,1,0,0,0,0,0,1,0.0,0.0,0.25,0,1,0,0,1,1,1,1,0.5,0.25,1.0,0.75,0.75,1.0,0.0538,4
1,0,17,1,1,1,0.8,0.8,1,1,0,0,1,0,1,0,0,0.0,0.0,0.0,1,1,0,0,1,1,0,1,0.75,0.25,0.0,0.0,0.0,0.75,0.0,3
0,0,18,1,1,1,0.2,0.4,1,1,0,0,1,0,0,1,0,0.0,0.3333,0.25,0,1,0,1,1,1,1,1,0.5,0.75,0.75,0.25,0.5,1.0,0.0968,5
